A7_C40 A5_B781
D4_B201 C7_B991
D4_C942 B1_B716
B4_A709 B2_A999
B2_A137 A7_B136
C1_C388 B7_B409
C3_A560 A1_A638
A5_A771 B5_A543
C4_B467 D2_C833
D2_B815 B7_A567
A2_B267 C5_B97
B5_B252 D5_C477
B1_B409 B4_B287
A6_B892 C5_B392
A2_B516 D7_C319
D7_A907 A2_A244
B1_C496 A5_C36
C6_A695 A3_C975
B7_B836 B3_A186
B3_A965 C7_C537
C2_C583 D5_A728
B5_A254 B6_B825
A3_B917 C7_A369
A1_C997 C6_C543
D7_C236 A5_A174
D7_C380 A1_B810
A3_B173 D5_A147
B7_B106 B5_B825
C3_B363 D4_A119
A5_A549 D6_A729
A2_C994 B4_C606
D5_C252 D1_A662
B6_B433 A3_A81
B3_B95 B4_A577
A1_A857 C5_A3
B3_C100 B7_A628
B5_C315 D5_B880
C2_C819 C3_B961
D4_B635 C5_C775
B3_C432 C3_A222
D5_A346 D7_A257
D2_B942 C3_B953
C5_A602 A1_A562
A1_B700 A4_A302
D6_B859 C6_C790
C3_A134 C5_C716
C2_B578 B2_B236
B7_C4 D5_C633
B4_B583 D2_B374
A3_A126 C6_C520
D3_B921 D7_C728
C3_A309 B5_B829
C3_C731 C1_A857
C2_A769 A5_A223
D7_C733 B2_B601
C1_C132 C5_C690
D3_A229 A6_B502
D4_B804 D3_A182
C7_A335 B7_A910
C5_A416 D1_A665
D7_C475 B2_C84
C3_A706 C4_A191
C6_B637 C5_C777
B1_B597 D4_B567
A1_B327 C7_B452
B2_B975 A5_A613
A4_C290 C6_B489
D6_C37 B3_B188
B7_C58 C2_A646
B4_B868 D6_B305
C4_A59 A5_A724
B6_B816 B6_A257
B5_B116 D1_C853
D1_B23 B5_C149
C3_C553 A5_C60
D1_B598 D6_C226
A2_C789 B7_C819
A1_B662 C5_C596
D2_A157 B2_A143
C5_A743 C4_C710
A4_B63 D1_C961
A5_A834 A2_B87
A6_C178 B7_A290
C6_B942 C3_B165
A2_B262 B1_A654
B3_B862 B3_C101
D7_B867 B5_B436
B3_B805 C7_B892
C2_A850 A4_A238
C6_C632 B2_A496
D6_A615 C4_C650
C7_C572 B1_A985
C5_B752 A6_B670
D5_A634 A2_A651
D3_A767 D4_A428
A6_B922 B6_B337
B1_A500 D6_B697
A7_A342 A5_B400
D1_B757 B1_A870
D2_A359 A2_B165
A2_B49 D2_C148
A3_A656 D3_B954
A4_B534 D4_A968
A6_C582 D1_C963
D3_A608 B6_C933
B1_B550 B1_C38
D2_B37 B1_C970
B2_A402 A7_A678
C3_C893 B2_A806
B1_C524 B7_B880
C3_A136 D7_C560
C7_B952 B5_B87
C2_B489 A3_A37
B6_B651 B6_A514
A7_A753 D4_B157
A3_B570 D6_A372
A7_C673 C4_C871
C4_C995 A1_B330
D3_B542 C4_C170
D6_C811 B7_C269
A5_B964 C4_B643
D7_A760 C1_C998
A5_C679 C1_B851
D7_A774 C4_A212
D3_B146 A7_B190
C6_A751 A6_A756
B5_B362 A4_B342
D3_B484 B2_A483
D1_C222 A3_A938
D2_A580 B7_A585
D6_B231 B7_A313
D7_B859 B4_C911
A1_C695 B3_C524
D4_C536 A3_B712
A7_C46 D4_C705
C4_B231 C5_A711
C3_C151 C3_C980
C3_A145 C6_C14
C4_B972 D7_A575
A1_A693 B3_B822
A3_C807 C7_C40
A4_C306 B5_B673
B7_B90 D5_B270
B3_B787 C5_A452
D2_B627 C3_A30
C3_B954 A4_A247
D1_A700 A3_C476
A7_B200 D3_B464
B4_C512 A7_B342
A5_C513 D5_B916
D4_B338 B1_C154
B1_C113 D3_B671
B7_C840 D4_A538
B2_C987 B4_B25
D1_B403 C5_A613
A3_B464 B1_C6
B1_C418 C6_C846
D5_A354 A7_B752
C2_C220 A1_C26
B1_C912 C6_C879
D6_C131 A1_C230
B5_B242 D7_A921
C5_A616 B2_B344
C7_B437 B3_A624
B2_A523 B7_B374
D2_A594 D3_B65
B7_B499 B2_C960
A6_B769 B1_B554
C2_A642 D7_C371
A3_C39 C1_B619
C4_C715 A5_B663
B1_C95 C5_B480
B1_C941 A6_A339
D5_A328 B6_C418
D4_B823 C2_C451
C1_B78 C6_C502
C1_A868 B3_C72
D2_C269 A4_C335
C7_B927 D4_B745
A4_B678 D5_C605
A3_A781 C2_B670
C1_A464 C2_B750
D7_A310 A5_A669
C4_A819 D6_C689
A4_A107 B6_C141
B3_A678 D7_A452
B6_A138 C3_A508
D4_C321 C5_A968
C7_B743 B7_A985
A5_A697 B6_B602
B3_B118 D3_C492
B2_B358 D7_A974
C3_B424 A1_A596
C3_B873 D1_B522
D4_A380 C3_A284
B4_A43 C6_B278
C6_B174 C7_B898
D6_B779 C5_B804
B3_A623 D2_C888
D4_C542 A7_C149
A4_C372 A6_C923
D1_A261 A6_A584
C3_A222 C1_C152
D1_C510 C1_C744
B5_C12 A4_A804
A7_A827 C6_A302
D7_B418 D6_C308
B5_A718 D6_C353
D4_A454 A6_A398
C7_C693 A6_A472
D2_C380 B4_C2
A1_B26 D5_A492
A3_B365 A6_B780
B6_A514 B4_C586
C1_C556 A2_B10
B5_B977 C2_A596
D4_C393 C5_A92
D5_B629 A3_B516
A4_B19 D1_C640
D7_A324 D5_B543
A1_B502 D1_A266
A6_B241 B2_C756
B6_B22 A1_C796
B5_A479 D2_C883
C5_A962 A5_A165
B2_B934 C7_B823
C1_C348 D5_C931
D5_A66 D6_C595
B5_A618 B1_B530
C7_B388 C6_C551
B6_B382 C4_A242
B4_A506 D4_B663
D1_B297 B6_A226
D1_A151 A5_C696
B1_A53 B7_B67
A3_B870 A2_C237
A1_C32 B7_B718
C4_A186 B1_A522
B4_C62 D5_C157
C1_A910 D5_B837
B1_C977 B5_B418
A6_B879 B6_A415
B1_A555 C5_C446
C6_B4 A5_B811
C3_A540 D4_A647
D5_B94 C7_A132
C3_A779 B7_C889
D1_C532 B6_A592
B3_A852 D5_B546
D4_C615 A6_B123
A6_A829 B1_C251
C4_A240 D4_A805
C4_B924 A1_B52
A4_C464 B3_A795
C5_B810 C5_B542
C3_A335 A5_A658
D2_C179 D3_A332
A3_B184 D3_B793
A3_B200 C4_C136
A6_A651 C3_C718
B7_B310 D2_C310
A4_A845 B4_C989
B4_C115 B1_A594
B7_B65 A4_C8
B1_C350 C7_B46
C3_C331 A2_A751
D1_A302 D6_B237
D7_C861 C4_B789
B6_A691 B2_B679
D3_C82 D7_B276
B7_C548 B7_B156
A3_B107 A2_A167
D5_A766 B6_B508
D7_C185 B2_A981
B7_A705 C4_C356
B2_C163 A3_A738
B3_A878 C2_B161
D1_B570 A4_A985
D3_C985 B7_B877
D4_C327 C4_A186
B7_B880 C7_C310
B2_C636 A3_C789
A2_B109 D4_A620
D4_A803 D1_C136
C6_B473 A2_A594
A4_A586 B3_A943
A5_A756 B5_A624
A1_A623 D5_B827
C1_C111 D5_A918
D4_B891 D2_B401
C4_B95 C6_C497
D1_A219 A6_B408
A5_C261 C2_B58
B4_C541 C3_C203
D5_C190 D4_A489
B5_A597 C6_C38
A1_C845 B1_B215
D2_C432 B5_A477
A4_B187 C4_B531
B1_A573 D1_B780
D7_A241 A1_A41
B4_C736 D1_C102
B1_A655 D1_C37
B6_A536 D7_A381
B2_A887 B7_C188
B1_C176 C7_C792
A6_A619 D4_A484
B5_C172 C7_A35
B1_B427 B4_B609
C6_A556 C6_B527
A2_C224 C7_C986
D1_B297 D2_B915
D6_A206 C3_A276
D2_A285 C6_A555
D2_A737 D6_C240
A7_B734 A4_A609
A3_B807 D1_C356
D1_A443 B6_C948
D7_C606 B2_C835
D6_A81 C4_B526
A4_C293 B2_A302
B7_B151 B3_C90
A3_C59 A6_B690
C1_C35 C7_A378
B4_A792 C4_C307
A4_A565 C2_B718
B7_C118 B6_A715
C1_B589 C3_C671
A2_A871 C4_A706
C5_A533 D2_B772
D7_B176 C2_A319
A1_B578 D7_C342
D7_A849 A1_C655
A6_B878 A4_C980
A1_C759 C7_B462
C5_B574 B6_C579
D1_A542 A2_C88
C2_C523 B5_B694
D1_C159 D6_B417
C2_C133 D6_A501
C1_B819 B1_C106
D2_B888 C5_B964
B7_A998 C5_B748
C4_C404 C5_A48
B7_C829 C3_C237
D5_A191 D1_A47
B7_A766 D1_A335
B7_B967 A4_C29
B1_C592 A7_C46
B2_C803 A3_A573
C5_A563 D6_B396
A4_A237 A6_B86
C4_B413 D3_C230
A2_A186 D3_C849
D7_B253 A1_A402
B4_C973 B2_A438
D2_C956 A2_B811
B6_B155 A5_C919
C2_A967 B3_A763
D7_C607 B1_A875
B1_B478 C4_C71
A3_A253 D1_B801
A1_C840 B6_B344
D4_B416 C6_B740
A6_C686 C5_B19
C7_A667 A2_A646
C2_B130 A7_A942
A3_A913 B6_A900
A2_A661 C4_A861
A1_C964 D6_C167
B5_C279 B7_B140
C3_A389 A5_A127
B4_C974 D2_A490
D5_A679 B2_A458
A4_A842 B6_A706
A4_B551 C7_B197
B3_C60 D6_B850
D4_C703 D2_B218
A2_C649 A4_A552
C4_C170 C5_A313
C2_A489 D3_B232
B2_C261 B6_C643
A2_B992 A4_A594
B1_A841 D5_C596
B2_C656 C2_A854
C5_A274 D3_B33
A6_C174 C5_B123
C2_B372 C5_A418
A7_C958 B6_A445
A6_A691 A1_C370
C5_B454 B3_A890
C4_B690 B3_C88
C6_B379 C7_A117
C3_C3 A3_C403
C5_C203 A1_C303
A6_A832 A3_C641
A5_A921 A7_B366
D1_B193 A2_B46
B7_B446 A7_C842
C2_C903 D2_A311
C5_C444 D5_A49
C4_B578 A3_B962
B6_C619 B2_B771
B5_B290 C4_A548
A4_C542 A2_B229
B1_B762 B2_C659
A4_B549 C1_A627
C2_A193 D1_C311
C7_B67 D7_B98
B5_C930 B6_B409
B2_A692 B7_B727
D7_B34 B3_C787
A1_A8 B6_B368
D6_A781 B5_A597
D7_A302 D1_A992
D5_A84 B5_B605
A6_B566 D3_A443
B6_C735 B4_B133
C7_B306 C7_C883
B1_A198 A7_C529
C7_B982 A5_A583
A7_A857 D1_C519
D6_A233 D2_B929
D5_A379 D7_B731
C7_A756 A5_A338
D5_A475 D4_B394
A3_B288 A7_B819
D1_C27 A7_C87
A1_C189 C6_C14
C2_B792 A7_C794
B3_C719 D7_C586
C2_A533 C2_B818
D6_A320 B3_C7
C4_B847 D2_B41
A5_B458 D7_B933
D2_C111 C3_C521
A1_B396 A1_C841
B4_B303 D6_A409
D4_B646 B6_B232
B1_C294 D1_B996
D4_A81 D6_B672
C4_A652 D4_C317
D3_A746 B3_B302
D4_A279 C3_C128
A2_A367 D1_B65
D6_C228 A2_B217
C3_A892 B3_A48
A6_B555 B2_B975
D4_C933 D7_B937
C4_C160 A4_C344
A2_A992 D4_B739
B7_C898 C5_B734
D6_A819 A2_A246
D2_C542 D1_C5
A4_B139 A2_C639
D5_A621 A6_C604
B2_B281 A1_B331
B6_B955 C4_C707
D5_C852 A6_A613
D4_A844 A5_B244
C7_A857 C7_C443
B5_B578 C6_A706
D3_B318 C7_A525
D7_B344 A4_C28
A1_A151 A2_C587
D7_A636 A2_B212
D6_B564 C7_C119
D3_B805 C5_C86
D5_A874 B2_A839
C5_C933 C2_A813
C6_A428 B6_C704
A7_A112 C7_C291
B7_C694 B7_B263
C5_C628 A2_A295
C3_C133 B1_A800
A7_B972 A6_A168
B2_B169 C1_A900
C6_C280 A2_A338
A7_C788 B7_A862
D5_A187 C1_B12
A7_C731 D3_B395
D2_A568 D1_B746
C5_A783 D7_C423
C5_B37 D2_B96
B7_C948 A3_C505
C4_C765 A5_A62
A7_B19 B3_A813
B4_C399 B7_A698
A5_A152 C4_B545
C2_A18 A1_A816
B1_B449 D2_B475
C2_A70 A6_C52
C7_B271 D1_A931
A7_B519 C5_C253
C6_C158 C6_B232
D6_A396 D1_C29
D2_C456 D6_A449
C6_B887 D2_C33
D2_B20 C7_B102
B3_C532 D1_B181
C2_A637 B2_B609
A2_A964 D3_A979
A3_B49 C3_C935
D2_C563 C5_C392
C1_A989 B6_B311
A5_A254 A6_C165
A2_B160 D1_B771
D7_B410 C3_C666
A6_C9 B6_B696
B6_A982 A6_B724
B6_A365 D5_A946
A7_B882 D6_B42
B3_B788 C1_B404
B3_A632 A6_B52
D7_B814 A6_A655
C7_B896 D6_A753
B2_C734 C2_C277
D7_B433 A7_A671
C4_A2 D3_B476
C2_A623 A3_A459
C4_C622 B6_A819
C5_C445 D3_B716
B5_B558 C5_B176
B2_C163 A4_B268
C3_C466 C3_C475
C6_B126 D4_A443
C2_B7 B4_B507
A7_B885 D2_A826
B7_A181 D3_B300
A2_B724 B4_C456
D6_B383 C2_B77
C7_B77 A1_C66
D6_B703 B6_A839
B3_A628 B4_C498
D6_C569 B4_C962
D6_B187 B7_A541
A6_A139 D4_A255
D1_B79 B2_B720
D3_C287 A4_B405
C6_B88 A5_B999
B2_A456 D1_A270
D3_C796 B1_A868
B1_C964 A7_B843
A1_C162 B6_C665
D5_A70 D1_C312
B2_A353 D7_C505
D2_B959 A1_C328
A3_C688 C3_A729
A5_C675 D6_C905
B7_A432 C7_C384
A7_B116 A7_B943
C6_B874 B2_A650
B7_B446 D6_C129
D1_C296 A5_B572
A4_A422 B1_A556
C6_C395 A1_B643
A4_B942 A1_C362
B7_B322 A4_B635
D7_A177 A2_C926
C1_C949 D4_B771
B6_C962 C1_C356
D2_C840 A2_B291
A5_C830 A1_B726
A7_C426 B1_A381
C1_A673 D4_B662
A3_C347 D2_C861
A1_C360 D6_C405
A2_A868 A2_A354
C7_A189 A5_B432
D4_A120 D7_C618
C2_A748 C5_C271
A3_A369 A6_C444
B1_A151 A7_A325
D6_A47 B3_A558
D6_B904 B7_B987
B7_A301 C5_A856
A4_B963 B1_B130
D3_A700 C7_C569
B3_C514 A5_B692
D5_C176 C2_A124
A1_A871 D5_A14
A5_C490 D2_C806
A6_B36 D3_C246
C1_A84 B6_C843
A1_B717 C1_C734
A4_B922 C5_B514
C5_C390 A3_C649
C4_B733 B3_A243
D4_C206 C3_A85
B7_C611 A4_C606
C7_A817 C1_A474
B2_C632 C6_A354
B3_C864 B6_C467
B7_C929 D6_B458
A2_C905 B4_B57
D1_A551 A1_B68
B5_B842 C5_C714
D4_C644 A5_B47
D7_C199 B1_C438
D3_B354 D4_B788
C1_A165 B7_C734
D3_A793 B5_C617
D3_B203 D5_B123
D3_B486 D2_A847
A5_A533 D5_A390
D4_A841 A2_B8
A1_B218 C2_C866
A4_C744 C2_A346
C5_C143 C1_A312
B6_A993 C6_C957
B1_C465 C4_B208
D3_B393 B6_A388
D3_A177 B3_C328
B1_C794 A4_B217
A3_C650 D2_B226
A2_C304 C1_C2
C5_C704 D6_B433
D2_A310 D3_C500
D5_B465 C1_A177
D3_B285 A6_B707
A7_A237 B5_A585
C3_A34 B4_A4
B6_A314 A4_C140
C5_A366 D3_A991
D6_B463 D2_C701
B4_A869 D3_A761
C2_C307 A5_B139
D5_A643 C3_A689
A2_A819 B3_B990
D6_A384 D3_B255
D6_B509 C1_B397
A5_A424 B1_B695
C2_A116 D1_A832
A6_B811 B3_C824
C2_B529 A2_C797
B7_A907 C3_A189
A4_B977 C7_C458
D2_C995 B7_B523
A5_C997 D2_C645
C5_C641 B5_C244
C7_A721 B5_A203
C2_A515 A1_A222
D4_A746 A6_A528
C3_A299 D4_C139
A4_A638 B2_C165
D6_B652 B6_B814
B7_B35 C6_A560
C4_B381 B5_C35
D7_A442 C5_B76
D6_C700 B6_C949
D4_A292 A2_B968
