C2_B230 D7_B344
B1_B398 D5_B826
A1_C591 A4_C66
B1_A929 B2_A413
A6_B570 C2_B39
C3_C261 A1_C346
C6_C431 C6_C527
D1_C24 A2_C54
D5_B24 D7_B250
D6_A736 A5_A969
A3_A61 A5_A338
D5_B84 D2_B763
B2_C845 D7_C871
D1_A673 B4_A798
C4_C555 B6_C839
D3_C933 A6_C842
C2_C614 C2_C64
C3_C67 A3_C443
D6_B381 D4_B169
B6_B559 B4_B643
B2_C301 D4_B317
C1_B508 C2_B459
C4_C424 B1_C407
B3_C327 B5_C85
C3_A479 C3_A379
C3_A156 C4_A722
A2_B832 A5_B704
C1_A943 D6_A466
D2_C4 B1_C212
A6_C586 A4_C760
D3_C65 D6_C298
B2_C422 B3_C712
A5_B449 A3_B198
D4_A534 D3_A702
C5_C175 C3_C661
A1_B590 D6_B923
D2_B737 D6_A599
C2_C615 C5_B662
C6_A622 C4_A673
C5_A156 C4_A619
D5_A627 C3_A144
C2_C269 C5_C196
A2_B158 A5_B132
A4_A54 A4_A90
B5_C252 B2_C297
B2_A491 B2_B431
D2_C738 B2_C556
B1_C70 B2_A87
D1_B303 A2_B338
C4_B407 A4_B260
A2_C91 A5_C129
D4_B743 C2_B453
A3_A668 B3_A410
A7_C396 A1_C493
D3_A315 D5_A503
C6_A793 B1_B919
D1_C332 D2_C356
A1_C208 A1_C781
A3_B477 C3_B401
C3_B319 C4_B364
B5_A409 C2_A603
A2_C826 B2_C561
A1_C421 A6_C644
B5_C172 B6_C3
C5_B970 C1_B700
A6_C25 A7_C39
C2_B357 A4_B258
B3_A693 B2_A373
B6_C111 C1_C68
B2_C522 C1_C898
A6_A539 A4_A614
C6_A719 A5_A234
C7_B913 B7_B642
D1_B889 D6_B173
A6_B985 C2_B691
A5_C236 A3_C367
A4_C30 A6_C0
A1_C585 C2_C504
B3_B910 B4_B587
D4_A484 D7_B552
A1_C997 A6_C333
D5_B802 D4_B772
D4_C590 D7_C708
A2_C790 A6_C606
D2_B289 D1_B731
B1_C388 C1_A235
D7_C605 C2_C671
B7_B391 B1_B280
B7_A882 D2_A719
C5_C537 D1_C45
C3_A273 C5_A128
C6_B325 C5_B409
D6_A659 D5_A504
D3_A153 D6_A191
A6_C342 A4_C860
A7_A250 B4_C312
C3_A381 C6_A319
A1_A143 A1_A370
C7_C159 C3_C59
B1_A98 B2_A21
D6_A993 D4_A969
D4_C116 B5_C37
C3_C233 B1_C922
C1_A709 C4_A519
C4_C132 C7_C586
A7_B394 A5_B326
C7_B685 C6_B369
C1_A665 C1_A517
D5_C200 B6_C278
A4_C185 A2_C395
D5_A575 D2_A648
D6_C835 A1_C467
D4_A808 D2_A785
B2_C171 B5_B249
D3_C395 D2_C316
D3_A428 B3_A158
B3_B734 D6_B325
A3_B698 A7_B424
D7_A831 B4_A207
A5_A773 A7_B833
A5_B935 C7_B281
D2_C752 D7_C629
B7_C457 D1_C61
B4_B469 B3_B792
A3_B130 D3_B421
A5_C32 D2_C308
D1_A794 D4_A558
C5_C469 C3_C567
B2_A104 A2_A204
B6_B308 C7_B231
B7_B857 A7_B335
C5_C582 C1_C203
D3_C365 D3_C894
C6_C153 D6_C336
C2_B661 A6_B645
C3_B499 C1_B10
B4_C384 B6_C395
D3_B628 B6_B650
C1_B112 C5_B1
B1_B888 B3_B984
A7_C604 A3_C333
C6_C702 C4_C218
C4_A85 C1_A64
B4_A820 B7_A648
D4_C429 D4_C402
C4_A577 C2_A26
B6_A501 C3_A765
A5_A279 A1_A738
C2_A432 C6_A287
B2_C307 C2_C227
A4_C543 A4_C98
A7_C91 C7_A104
A1_B344 C1_B279
C2_B357 B2_B853
B7_C389 B7_C401
A5_B62 A2_B183
A4_A915 C2_A943
C2_C740 D4_C706
C6_B907 C4_B951
C1_C581 C4_C428
A1_C681 A1_C753
D6_C35 C1_C652
A3_A493 D3_B700
A6_B931 A3_B470
A6_C426 C4_C722
C3_B979 C5_B514
D1_A46 D1_B41
B7_A875 B7_A388
D3_B803 D3_B510
B6_A448 C6_C889
D6_C591 D6_C509
C1_B687 C3_B102
C7_C785 D1_C698
B4_B722 D3_B429
B2_B807 B5_B814
C2_A110 A2_A638
D1_B717 A1_B573
D3_C720 D3_C342
A2_C955 A1_C845
B7_B684 B5_B927
B7_C511 B3_C508
D4_A867 D3_B686
B1_A888 A5_A901
D6_B713 D1_B692
D7_C918 B3_C434
B3_B472 A3_B864
B5_B424 C5_A486
D2_A743 D7_A859
B4_C555 B5_C923
D5_B564 B3_B920
C2_A846 C5_A830
D3_C813 B6_C576
C1_A474 C2_A445
A3_A521 D1_B433
D4_C73 D5_C66
C1_A914 B5_A222
D3_C526 D5_C255
D1_C204 D5_C10
C7_B449 C4_B20
D2_A858 C2_A930
A7_C792 A7_C565
C3_A20 A3_A165
A6_A21 A1_A310
D7_C881 D5_C645
A4_C219 A5_C126
B7_A304 B7_A427
B4_C885 B2_C826
A3_A812 A2_A280
C1_C752 C4_C195
A4_A781 A7_A336
C6_A669 C2_A661
D3_C258 D1_C464
D7_B890 D1_B853
C6_A635 C7_A815
C6_B699 C2_B474
D1_C465 B5_C588
B2_B328 C1_B400
A4_B118 B1_B977
B7_A183 B4_A302
B4_C816 A5_C801
A4_A692 A3_A668
C7_A224 C3_A513
B4_C408 B2_C289
C7_B158 D7_B358
B2_A623 B2_B610
D3_A987 D7_A354
C1_B52 C4_B90
B5_C895 B7_C881
D6_C239 D6_C561
C1_B288 C4_B275
B3_C197 B3_C265
A1_C564 C6_C173
C1_B275 C2_B221
D1_A148 A1_A782
B7_A197 B5_A304
D4_B657 D3_B765
B5_B647 B2_B822
C3_B165 C4_B397
C1_B668 C1_B435
C4_B964 B3_B355
D3_C891 D3_C793
C3_C703 C3_C412
A6_A455 D2_A390
A4_C324 D3_C368
B6_B831 B2_B911
C6_B815 C2_B802
C6_C929 C3_C495
A6_B82 A1_B186
A5_C398 A7_C962
C7_C345 D4_C768
A6_B905 A4_B691
D4_A632 D1_A559
D7_A8 D1_A14
A5_A918 C7_A874
D3_A55 D3_A877
B5_B747 B4_B499
C3_C579 C1_C587
C6_B636 C6_A742
D4_B280 A5_B6
C4_C526 C7_C462
B5_A705 D1_C650
A6_C356 A1_C746
B1_B207 C1_B706
A5_A15 C5_A652
D4_C877 D7_B971
A7_A200 A3_A874
A2_C10 A5_C200
A6_A780 A3_A477
A6_C252 D6_C259
B3_C100 B5_C208
C2_A773 D6_A814
D4_C707 D1_C801
D4_C690 D3_C662
A7_C932 A3_C115
A2_C711 A3_C165
A6_C757 A5_C935
D4_A761 D6_A849
B6_B247 B5_B610
A5_A442 A4_A663
B2_A273 B2_A297
D2_B755 D6_B97
C2_A172 B3_A139
A1_A94 A5_A48
A4_C572 A5_C284
C5_A230 A3_A392
A2_A637 A2_A470
B3_A801 B7_A5
C4_A283 C2_A181
D4_C539 D2_C576
B4_B639 B5_B615
A6_A763 A3_A472
D2_C309 B2_C9
C6_B691 A4_B153
C7_A833 C6_A473
A4_A925 A6_A971
B6_C150 B7_C560
C1_B170 C2_B666
C3_B383 C3_B337
A5_A317 A5_A372
D7_B207 D6_B264
B4_B207 B3_B815
C7_A598 C7_A432
B2_B903 A5_B896
B3_C336 B6_C306
B5_B685 C6_B807
D7_A523 D1_A546
A1_C216 A1_C287
C4_B796 C4_B580
C5_B391 A7_B523
B2_B903 B1_B687
C1_A56 C1_A864
A3_A232 D5_A14
C5_A755 D1_A822
B1_B395 B5_B567
B5_B79 C1_B624
C5_B473 C5_B232
C5_C226 C7_C319
B7_A129 A4_A129
B7_A606 B6_A350
A7_C78 D1_C592
A1_B87 A2_A339
C1_C171 A3_C678
B7_A661 B3_A93
B1_C548 B4_C793
C1_A241 C4_A381
D5_C610 D5_C342
C5_B368 C5_B258
C2_B326 D6_B254
B1_A768 B6_A568
A5_C620 A3_C359
A1_B134 B4_B612
B2_C812 B3_C600
B1_A720 B5_A824
C7_A767 C6_A187
D6_B634 A2_B690
C4_C786 C5_C683
C1_B554 C7_B536
A7_C629 A3_C49
B3_A596 B2_A230
A1_C793 C6_C978
C6_A771 C1_A230
D6_B445 D3_B925
C6_B676 C1_B695
C2_A658 C1_A525
C2_A799 D2_A715
B5_B939 C1_B964
D5_A49 D2_A198
A4_C180 A3_C498
D3_B305 D1_B847
B4_B779 B1_B28
A4_B186 A7_B35
C4_B501 C7_B407
D1_C910 C1_C440
A7_A493 A3_C336
A2_B761 B7_B267
D7_B269 D1_B341
C6_B630 A3_B801
A4_B25 A3_B243
D6_B251 D2_B333
B1_C902 B5_C197
A1_B258 C1_B279
C7_B440 C7_B54
C7_B638 C4_B548
C1_B179 C4_B85
C5_C1 C1_A47
D1_C944 D3_C835
C7_B301 C3_B241
D2_C296 B2_C149
B7_A314 B5_C359
D2_A144 A5_A55
C1_A650 C6_A624
B2_C422 C5_C463
A7_B994 A4_B557
B1_C283 B3_C317
B4_C992 A6_C727
D6_B502 D1_B784
A2_C406 D3_C882
D6_B112 D3_B705
C2_A510 C2_A476
B2_C735 D4_C815
D4_A112 D2_A135
C6_C659 A5_C246
B6_B495 B5_B590
C2_A401 D4_A772
A6_A637 B3_A94
D7_B109 D3_B721
D4_B273 D6_B893
C2_B197 C6_B438
B2_A956 B7_A273
C2_A524 C6_A369
D7_B386 D4_B842
A6_B938 A6_B623
B7_A365 D5_A617
C1_A779 C2_A752
D6_C420 D6_A177
D7_C211 D5_C20
B4_A83 B5_A135
D6_C532 D1_C470
A6_B386 A4_B286
C6_C95 C4_C733
