A1_A13 A3_C220
A3_A668 B3_A410
A3_A729 A3_A496
A3_A812 A2_A280
A3_A881 D6_A3
A3_A913 B6_A900
A3_A956 B3_B794
A3_A974 D2_C133
A3_B130 D3_B421
A3_B163 A3_C323
A3_B180 A6_A20
A3_B200 C4_C136
A3_B353 A7_A254
A3_B363 D1_B787
A3_B365 A6_B780
A3_B419 A7_A137
A3_B464 B1_C6
A3_B624 B7_B5
A3_B747 A3_C131
A3_B766 D6_B434
A3_B789 B7_C447
A3_B817 C5_B693
A3_B858 A1_B854
A3_B946 A5_B485
A3_B954 A2_B712
A3_B990 A3_B909
A3_C102 A4_C572
A3_C148 B1_C913
A3_C347 D2_C861
A3_C56 B5_B138
A3_C574 C4_C464
A3_C61 D2_C791
A3_C688 C3_A729
A3_C908 B2_A101
A3_C916 A6_C283
A3_C965 A2_A166
A3_C968 D3_C668
A3_C978 D5_B344
A4_A165 A4_A729
A4_A306 B5_A208
A4_A388 B3_A945
A4_A422 B1_A556
A4_A449 B5_C780
A4_A637 D6_B609
A4_A638 B2_C165
A4_A679 D4_B960
A4_A722 B3_C133
A4_A737 D4_C606
A4_A79 C6_A735
A4_A790 D6_C171
A4_A854 C7_B363
A4_A925 A6_A971
A4_A947 B2_C495
A4_A947 B2_C495
A4_A969 B3_C748
A4_B118 B1_B977
A4_B153 B2_C402
A4_B163 C5_A797
A4_B187 C4_B531
A4_B23 D3_A737
A4_B25 A3_B243
A4_B301 B6_A148
A4_B308 C6_C43
A4_B448 A6_A715
A4_B520 D2_B741
A4_B534 D4_A968
A4_B551 C7_B197
A4_B551 C7_B197
A4_B753 A1_B423
A4_B763 A1_A489
A4_B854 C6_C143
A4_B922 C5_B514
A4_B926 A2_B895
A4_B926 A2_B895
A4_B935 D7_C737
A4_B942 A1_C362
A4_B950 A2_B941
A4_B985 C4_A563
A4_B999 A4_B665
A4_C14 A2_C635
A4_C180 A3_C498
A4_C185 A2_C395
A4_C219 A5_C126
A4_C290 C6_B489
A4_C30 A6_C0
A4_C306 B5_B673
A4_C324 D3_C368
A4_C386 C5_C171
A4_C464 B3_A795
A4_C464 B3_A795
A4_C488 D7_A486
A4_C536 A6_C781
A4_C543 A4_C98
A4_C585 D7_A874
A4_C593 D5_C312
A4_C745 C4_B629
A4_C745 C4_B629
A4_C884 A2_A366
A4_C946 B2_C945
A5_A111 C3_C989
A5_A15 C5_A652
A5_A152 C4_B545
A5_A254 A6_C165
A5_A264 D5_B636
A5_A279 A1_A738
A5_A279 A1_A738
A5_A317 A5_A372
A5_A442 A4_A663
A5_A484 D5_A419
A5_A504 A4_A313
A5_A557 B7_C958
A5_A704 D5_B962
A5_A73 A5_B832
A5_A756 B5_A624
A5_A759 D7_C731
A5_A765 A5_A991
A5_A834 A2_B87
A5_A856 B1_A908
A5_A871 D6_A903
A5_A876 A3_C431
A5_A884 A4_A574
A5_A918 C7_A874
A5_B277 D2_B331
A5_B449 A3_B198
A5_B561 D3_A979
A5_B639 B6_A47
A5_B647 D6_C745
A5_B654 A1_A158
A5_B715 B7_B200
A5_B778 D4_B818
A5_B890 C4_C489
A5_B935 C7_B281
A5_C117 B6_A720
A5_C216 C1_A192
A5_C236 A3_C367
A5_C32 D2_C308
A5_C331 A3_C78
A5_C398 A7_C962
A5_C398 A7_C962
A5_C472 C7_A656
A5_C513 D5_B916
A5_C607 C1_B371
A5_C620 A3_C359
A5_C643 A6_C375
A5_C793 B5_B793
A5_C860 D6_B750
A5_C895 D3_A360
A5_C911 D3_B460
A5_C945 B7_B997
A5_C992 B7_A557
A6_A114 A5_B331
A6_A21 A1_A310
A6_A21 A1_A310
A6_A227 B5_B941
A6_A230 C3_A347
A6_A233 C7_B743
A6_A344 B7_A516
A6_A455 D2_A390
A6_A507 C7_A396
A6_A539 A4_A614
A6_A590 B6_A707
A6_A637 B3_A94
A6_A692 D4_C179
A6_A709 D5_B636
A6_A712 D4_B546
A6_A770 B2_B146
A6_A780 A3_A477
A6_A798 A5_B5
A6_A829 B1_C251
A6_A832 A3_C641
A6_A937 C6_C163
A6_B109 B3_C455
A6_B130 C3_C83
A6_B134 C2_C187
A6_B164 C2_C93
A6_B308 A1_C677
A6_B354 A2_B45
A6_B36 D3_C246
A6_B363 B5_C762
A6_B37 B6_C559
A6_B386 A4_B286
A6_B386 A4_B286
A6_B419 B7_B337
A6_B566 C2_C859
A6_B566 C2_C859
A6_B566 D3_A443
A6_B566 D3_A443
A6_B570 C2_B39
A6_B662 A6_B109
A6_B75 D4_A708
A6_B768 A6_A614
A6_B798 D2_B628
A6_B82 A1_B186
A6_B892 C5_B392
A6_B905 A4_B691
A6_B922 B6_B337
A6_B931 A3_B470
A6_B931 A3_B470
A6_B938 A6_B623
A6_B938 A6_B623
A6_B964 C2_A270
A6_B985 C2_B691
A6_B985 C2_B691
A6_C207 C3_C819
A6_C240 C4_C540
A6_C252 D6_C259
A6_C252 D6_C259
A6_C35 A3_B703
A6_C356 A1_C746
A6_C359 A3_C180
A6_C366 C1_C211
A6_C395 B2_B84
A6_C413 D1_C835
A6_C449 A7_A295
A6_C546 C7_C960
A6_C582 D1_C963
A6_C727 B5_C188
A6_C782 D6_B846
A6_C820 D3_B145
A6_C866 A1_C824
A6_C9 B6_B696
A6_C954 D7_A713
A7_A112 C7_C291
A7_A125 A3_A103
A7_A17 A3_A43
A7_A273 D6_C966
A7_A408 C1_B691
A7_A493 A3_C336
A7_A515 B5_C490
A7_A533 C3_A558
A7_A554 A7_A568
A7_A574 D1_A307
A7_A594 D3_C37
A7_A599 D1_B645
A7_A624 A5_C58
A7_A630 B7_B412
A7_A753 D4_B157
A7_A827 C6_A302
A7_A897 C5_C72
A7_A980 C5_A956
A7_B116 A7_B943
A7_B122 A6_B932
A7_B122 A6_B932
A7_B156 A3_B110
A7_B164 C4_A228
A7_B18 A2_B208
A7_B212 C7_A413
A7_B359 A2_B929
A7_B413 D6_B253
A7_B463 B7_C670
A7_B553 D2_B140
A7_B564 A2_B351
A7_B667 C6_A310
A7_B717 C5_B591
A7_B837 A7_A854
A7_B861 A2_B293
A7_B910 C5_C480
A7_C21 D3_B305
A7_C304 C2_B771
A7_C307 D6_C581
A7_C360 C6_B921
A7_C396 A1_C493
A7_C426 B1_A381
A7_C46 D4_C705
A7_C472 A6_C471
A7_C483 B2_A749
A7_C498 D1_C373
A7_C554 D6_A682
A7_C625 B2_C636
A7_C726 A7_C547
A7_C792 A7_C565
A7_C91 C7_A104
A7_C920 C7_B141
A7_C931 A7_B922
A7_C932 A3_C115
B1_A151 A7_A325
B1_A198 A7_C529
B1_A310 A3_C606
B1_A396 A6_A22
B1_A420 B2_C426
B1_A53 B7_B67
B1_A555 C5_C446
B1_A573 D1_B780
B1_A605 B2_A116
B1_A655 D1_C37
B1_A658 C6_C368
B1_A711 D4_C71
B1_A720 B5_A824
B1_A768 B6_A568
B1_A8 A1_A812
B1_A834 C7_B507
B1_A857 A4_C911
B1_A875 D6_A266
B1_B189 B7_B912
B1_B207 C1_B706
B1_B230 B6_B236
B1_B340 B6_B100
B1_B398 D5_B826
B1_B398 D5_B826
B1_B477 A7_B509
B1_B51 C2_B543
B1_B51 C2_B543
B1_B550 B1_C38
B1_B556 A3_A440
B1_B73 A7_B59
B1_B733 B3_B641
B1_B870 A2_C848
B1_B888 B3_B984
B1_B956 C5_B765
B1_B965 C1_A454
B1_C140 A2_B196
B1_C224 B1_C212
B1_C283 B3_C317
B1_C388 C1_A235
B1_C402 A7_C57
B1_C437 C6_B122
B1_C548 B4_C793
B1_C550 D1_C556
B1_C627 D4_B718
B1_C722 A7_A669
B1_C767 B2_C753
B1_C783 B6_B786
B1_C791 B5_C585
B1_C794 A4_B217
B1_C795 A4_C428
B1_C973 B2_B775
B2_A136 B5_C66
B2_A189 A4_C71
B2_A232 B4_A61
B2_A273 B2_A297
B2_A273 B2_A297
B2_A456 B6_A611
B2_A456 D1_A270
B2_A590 A3_B129
B2_A623 B2_B610
B2_A652 C1_A634
B2_A692 B7_B727
B2_A89 A2_A131
B2_A956 B7_A273
B2_A956 B7_A273
B2_A976 A2_B933
B2_B113 A6_C217
B2_B113 A6_C217
B2_B263 B6_B244
B2_B284 B5_B793
B2_B385 D3_B524
B2_B390 A4_A384
B2_B632 A1_A69
B2_B635 B7_B778
B2_B635 C2_B829
B2_B729 D4_B677
B2_B803 B6_C561
B2_B903 A5_B896
B2_B903 A5_B896
B2_B972 B3_B275
B2_B984 C5_A684
B2_C221 B3_C259
B2_C236 D6_C727
B2_C261 B6_C643
B2_C307 C2_C227
B2_C422 B3_C712
B2_C422 C5_C463
B2_C422 C5_C463
B2_C441 C7_C989
B2_C466 D3_C387
B2_C501 C3_B740
B2_C565 A4_C766
B2_C587 A2_A297
B2_C587 A2_A297
B2_C656 C2_A854
B2_C685 D3_A131
B2_C735 D4_C815
B2_C764 C4_B324
B2_C772 D7_C151
B2_C794 A2_A95
B2_C812 B3_C600
B2_C842 B7_C466
B2_C847 C4_A683
B3_A188 D2_B892
B3_A437 C1_C803
B3_A458 C3_A983
B3_A459 B4_B59
B3_A462 C7_B598
B3_A596 B2_A230
B3_A604 C2_C360
B3_A617 C2_B678
B3_A693 B2_A373
B3_A757 A3_B738
B3_A778 D1_B398
B3_A801 B7_A5
B3_B100 D4_A877
B3_B226 C1_C284
B3_B300 A7_B520
B3_B472 A3_B864
B3_B512 B7_B344
B3_B578 A4_C4
B3_B615 C1_C719
B3_B636 A1_A19
B3_B688 B1_B429
B3_B688 B1_B429
B3_B700 C4_A205
B3_B734 D6_B325
B3_B734 D6_B325
B3_B805 C7_B892
B3_B807 C5_C968
B3_B820 A3_B409
B3_B910 B4_B587
B3_B961 D1_A823
B3_B995 C4_B570
B3_C100 B5_C208
B3_C100 B7_A628
B3_C140 C5_A690
B3_C156 A6_A877
B3_C286 B5_B736
B3_C286 B5_B736
B3_C306 D2_B327
B3_C310 B1_C699
B3_C327 B5_C85
B3_C327 B5_C85
B3_C336 B6_C306
B3_C375 B4_A170
B3_C58 C6_B427
B3_C580 B1_C382
B3_C698 A2_C949
B3_C951 B7_B106
B4_A108 B2_B860
B4_A212 D2_B245
B4_A226 B1_A226
B4_A441 A1_A798
B4_A60 A7_B477
B4_A668 C5_C96
B4_A678 B2_A704
B4_A678 B2_A704
B4_A694 B5_A812
B4_A701 A2_B149
B4_A763 B3_C585
B4_A799 A1_A763
B4_A820 B7_A648
B4_A83 B5_A135
B4_A83 B5_A135
B4_B25 B7_B989
B4_B469 B3_B792
B4_B497 B3_B254
B4_B497 B3_B254
B4_B587 B6_C663
B4_B634 D7_A217
B4_B664 A3_C283
B4_B855 D2_A823
B4_B868 D6_B305
B4_B935 B5_C747
B4_C134 C4_C6
B4_C197 D4_A218
B4_C202 D7_A704
B4_C30 C3_A90
B4_C329 C4_A909
B4_C408 B2_C289
B4_C454 C6_C229
B4_C555 B5_C923
B4_C597 D5_B793
B4_C632 A3_A376
B4_C684 A5_C22
B4_C815 B1_C885
B4_C878 D2_A335
B4_C885 B2_C826
B4_C897 D3_C266
B5_A107 A6_C284
B5_A224 D7_B480
B5_A281 C3_C664
B5_A398 B2_A605
B5_A401 B2_A284
B5_A450 B2_A332
B5_A452 D7_C647
B5_A464 C4_C218
B5_A465 B6_A68
B5_A491 A6_B546
B5_A556 D6_C513
B5_A586 A3_A181
B5_A591 D4_C6
B5_A597 C6_C38
B5_A618 B1_B530
B5_A660 B2_A474
B5_A671 B5_A833
B5_A671 B5_A833
B5_A718 D6_C353
B5_A856 B7_C373
B5_A862 B4_B571
B5_A862 C7_B58
B5_A966 C5_A246
B5_A972 B4_C995
B5_B116 D1_C853
B5_B265 C4_C77
B5_B271 A6_C331
B5_B417 D3_C823
B5_B424 C5_A486
B5_B45 B3_B551
B5_B475 A1_C988
B5_B533 B3_B916
B5_B599 C1_B509
B5_B647 B2_B822
B5_B732 B5_B216
B5_B747 B4_B499
B5_B770 C5_A459
B5_B79 C1_B624
B5_B903 B4_A360
B5_B939 C1_B964
B5_B939 C1_B964
B5_C149 C2_C459
B5_C172 B6_C3
B5_C203 C5_C770
B5_C252 B2_C297
B5_C318 C6_B170
B5_C346 C2_C420
B5_C456 D2_B724
B5_C680 B2_C787
B5_C729 A2_B202
B6_A138 D5_B577
B6_A160 C1_A230
B6_A302 A6_B36
B6_A384 B2_C948
B6_A445 B2_C474
B6_A448 C6_C889
B6_A624 D6_B497
B6_A665 C5_C764
B6_B155 A5_C919
B6_B247 B5_B610
B6_B308 C7_B231
B6_B36 B6_C980
B6_B382 C4_A242
B6_B392 D5_B959
B6_B433 A3_A81
B6_B470 D1_A60
B6_B473 B2_B541
B6_B495 B5_B590
B6_B495 B5_B590
B6_B559 B4_B643
B6_B770 B4_B557
B6_B831 B2_B911
B6_C150 B7_C560
B6_C217 D2_B662
B6_C223 C1_B141
B6_C251 C4_C537
B6_C495 C4_C525
B6_C505 C5_B301
B6_C53 D1_C918
B6_C700 D6_B244
B6_C790 C2_C905
B6_C888 D2_A773
B6_C942 B3_A753
B7_A148 D4_B820
B7_A183 B4_A302
B7_A197 B5_A304
B7_A219 B1_A119
B7_A304 B7_A427
B7_A323 A6_B301
B7_A477 B7_A523
B7_A56 B1_B103
B7_A606 B6_A350
B7_A606 B6_A350
B7_A66 A5_B60
B7_A98 A4_A146
B7_A988 C5_B184
B7_A998 C5_B748
B7_B141 D6_B765
B7_B151 B3_C90
B7_B200 D2_A43
B7_B322 A4_B635
B7_B332 D3_A482
B7_B340 B2_B736
B7_B446 A7_C842
B7_B452 A7_C945
B7_B457 D5_A331
B7_B539 B4_C738
B7_B65 A4_C8
B7_B684 B5_B927
B7_B707 B6_C550
B7_B707 C6_B361
B7_B773 B5_B730
B7_B791 D7_B553
B7_B827 C7_B18
B7_B85 C5_B96
B7_B857 A7_B335
B7_B857 A7_B335
B7_B888 B5_A960
B7_B90 D5_B270
B7_B93 D2_C806
B7_B983 A1_B230
B7_B998 A1_B537
B7_C140 C7_C493
B7_C191 A2_A298
B7_C213 C1_C285
B7_C263 A6_B272
B7_C263 D6_B611
B7_C313 B6_C172
B7_C389 B7_C401
B7_C4 D5_C633
B7_C438 D6_B120
B7_C511 B3_C508
B7_C511 B3_C508
B7_C611 C1_B253
B7_C655 B7_B599
B7_C666 A1_C827
B7_C667 B1_B265
B7_C721 B4_A293
B7_C829 C3_C237
B7_C93 B3_B800
B7_C949 B5_A498
B7_C969 A5_A666
C1_A165 B7_C734
C1_A190 C1_B161
C1_A241 C4_A381
C1_A388 A7_B290
C1_A493 B6_C197
C1_A592 D7_C508
C1_A665 C1_A517
C1_A709 C4_A519
C1_A744 D2_C486
C1_A805 B3_C718
C1_A868 B3_C72
C1_A914 B5_A222
C1_A966 B3_A356
C1_A986 B7_B811
C1_B112 C5_B1
C1_B112 C5_B1
C1_B152 B1_C936
C1_B170 C2_B666
C1_B173 B7_A962
C1_B179 C4_B85
C1_B288 C4_B275
C1_B288 C4_B275
C1_B316 B6_A244
C1_B359 C2_A626
C1_B449 D2_A437
C1_B508 C2_B459
C1_B508 C2_B459
C1_B52 C4_B90
C1_B528 D1_B171
C1_B545 C6_B756
C1_B554 C7_B536
C1_B567 D2_A508
C1_B588 B7_B956
C1_B604 A5_A337
C1_B689 B1_A460
C1_B711 A1_A426
C1_B766 D2_A115
C1_B824 C1_A745
C1_B971 C5_C366
C1_B982 A4_A708
C1_C211 A2_B680
C1_C324 D2_B768
C1_C348 D5_C931
C1_C35 C7_A378
C1_C406 A5_C96
C1_C452 B4_C208
C1_C555 C1_C521
C1_C587 B6_B57
C1_C766 A2_A986
C1_C902 C2_C565
C1_C902 C2_C565
C1_C932 B7_C683
C1_C946 D3_C964
C2_A110 A2_A638
C2_A110 A2_A638
C2_A172 B3_A139
C2_A175 B7_C234
C2_A401 D4_A772
C2_A432 C6_A287
C2_A489 D3_B232
C2_A510 C2_A476
C2_A524 C6_A369
C2_A657 D1_B848
C2_A682 C2_A587
C2_A748 C5_C271
C2_A773 D6_A814
C2_A773 D6_A814
C2_A799 D2_A715
C2_A846 C5_A830
C2_A850 A4_A238
C2_A903 C6_A15
C2_A967 B3_A763
C2_B150 C7_A477
C2_B166 C7_A338
C2_B230 D7_B344
C2_B372 C5_A418
C2_B405 B3_B123
C2_B405 B6_A413
C2_B428 A7_B874
C2_B468 A2_A24
C2_B586 C6_A110
C2_B661 A6_B645
C2_B682 B1_A700
C2_B794 B3_B367
C2_B8 C3_A478
C2_B809 C6_B320
C2_B841 C5_B273
C2_B882 D6_C628
C2_B964 C2_B149
C2_B988 B3_B550
C2_B990 D2_A760
C2_C155 B5_C808
C2_C267 C5_C37
C2_C269 C5_C196
C2_C269 C5_C196
C2_C307 A5_B139
C2_C357 A1_B378
C2_C393 C5_C719
C2_C395 A2_B49
C2_C405 B3_B876
C2_C612 A6_C209
C2_C615 C5_B662
C2_C627 B6_B775
C2_C740 D4_C706
C2_C740 D4_C706
C2_C747 A3_A991
C2_C78 C4_A435
C2_C797 C1_C724
C2_C798 A4_A969
C2_C939 C6_C919
C2_C982 B1_C148
C3_A122 D6_C449
C3_A134 C5_C716
C3_A171 C7_A553
C3_A225 C3_C906
C3_A246 B2_B546
C3_A268 C4_C412
C3_A309 B5_B829
C3_A31 C1_C550
C3_A34 B4_A4
C3_A389 A5_A127
C3_A417 D7_B365
C3_A443 C4_B709
C3_A479 C3_A379
C3_A479 C3_A379
C3_A560 A1_A638
C3_A61 C5_A951
C3_A662 C3_A482
C3_A693 A1_A144
C3_A779 B7_C889
C3_A869 A4_C268
C3_A871 A3_A619
C3_A885 A6_A633
C3_A909 B1_B119
C3_A980 D4_A164
C3_B165 C4_B397
C3_B169 A6_B188
C3_B302 A1_C376
C3_B363 D4_A119
C3_B383 C3_B337
C3_B42 B6_B331
C3_B42 B6_B331
C3_B456 D7_C491
C3_B472 A4_C202
C3_B705 A6_B450
C3_B737 C5_B985
C3_B742 B4_C899
C3_B795 D4_B843
C3_B805 C3_B416
C3_B821 C1_A839
C3_B870 A2_C616
C3_B979 C5_B514
C3_C133 B1_A800
C3_C151 C3_C980
C3_C181 D2_C265
C3_C331 A2_A751
C3_C346 B1_C333
C3_C375 A1_B946
C3_C380 C5_B698
C3_C401 C1_A207
C3_C440 B5_B516
C3_C547 C1_C411
C3_C667 A6_A632
C3_C67 A3_C443
C3_C703 C3_C412
C3_C731 C1_A857
C3_C797 D7_A851
C3_C801 C4_B109
C3_C885 D6_A716
C4_A163 A3_A296
C4_A2 D3_B476
C4_A20 B2_A917
C4_A283 C2_A181
C4_A283 C2_A181
C4_A561 A1_B252
C4_A577 C2_A26
C4_A589 C6_B195
C4_A639 B3_A760
C4_A714 D6_A348
C4_A721 B7_C885
C4_A784 C6_C846
C4_A819 D6_C689
C4_A849 A7_C751
C4_A930 C2_C882
C4_A96 D4_A26
C4_A99 A5_A295
C4_B12 C5_B459
C4_B264 A2_B135
C4_B409 B3_B683
C4_B413 D3_C230
C4_B501 C7_B407
C4_B509 C4_C588
C4_B520 B2_B80
C4_B77 A7_A649
C4_B89 C1_C752
C4_B903 D5_C798
C4_C117 C4_B446
C4_C284 D7_A660
C4_C336 C4_C565
C4_C424 B1_C407
C4_C526 C7_C462
C4_C526 C7_C462
C4_C547 D3_C86
C4_C555 B6_C839
C4_C715 A5_B663
C4_C969 B6_A570
C4_C995 A1_B330
C5_A156 C4_A619
C5_A162 A3_A430
C5_A408 C3_A466
C5_A42 D2_A763
C5_A425 C2_B657
C5_A475 C3_A309
C5_A475 C3_A309
C5_A533 D2_B772
C5_A547 C3_A558
C5_A567 B5_C534
C5_A658 C5_C62
C5_A942 D5_A382
C5_B204 C2_C587
C5_B343 A4_B335
C5_B391 A7_B523
C5_B411 C2_B683
C5_B411 C2_B683
C5_B547 D6_B430
C5_B574 B6_C579
C5_B601 B6_C122
C5_B621 A6_B251
C5_B681 C1_B562
C5_B814 B6_B351
C5_B822 D5_A349
C5_B87 D3_A830
C5_B954 A3_C8
C5_B970 C1_B700
C5_C14 B1_B897
C5_C143 C1_A312
C5_C221 D3_A818
C5_C236 C6_B313
C5_C386 B7_B135
C5_C390 A3_C649
C5_C445 D3_B716
C5_C454 C6_A526
C5_C469 C3_C567
C5_C537 D1_C45
C5_C537 D1_C45
C5_C582 C1_C203
C5_C582 C1_C203
C5_C756 C3_B525
C5_C815 C5_C481
C5_C862 D3_B708
C5_C904 A4_B2
C6_A106 A4_A190
C6_A310 C5_C765
C6_A339 B3_B510
C6_A428 B6_C704
C6_A429 B3_B834
C6_A49 A7_C19
C6_A530 C6_B334
C6_A622 C4_A673
C6_A635 C7_A815
C6_A7 D4_A132
C6_A719 A5_A234
C6_A751 A6_A756
C6_A771 C1_A230
C6_A771 C1_A230
C6_A789 D4_C466
C6_A959 C3_C564
C6_B161 C6_C727
C6_B162 D1_B897
C6_B183 C7_A122
C6_B20 A1_A181
C6_B325 C5_B409
C6_B379 C7_A117
C6_B390 D5_B117
C6_B4 A5_B811
C6_B50 B3_B544
C6_B604 B5_C801
C6_B630 A3_B801
C6_B636 C6_A742
C6_B676 C1_B695
C6_B729 C3_B770
C6_B815 C2_B802
C6_B816 C7_C153
C6_B824 C4_B587
C6_B842 B2_C811
C6_B870 C3_A909
C6_B88 A5_B999
C6_B88 A5_B999
C6_B942 C3_B165
C6_B993 C1_C504
C6_C153 D6_C336
C6_C169 B6_C315
C6_C169 B6_C315
C6_C203 A5_C645
C6_C240 D1_A415
C6_C254 A3_C405
C6_C325 D3_A570
C6_C431 C6_C527
C6_C480 C5_B653
C6_C489 D3_B436
C6_C632 B2_A496
C6_C635 A5_A562
C6_C659 A5_C246
C6_C659 A5_C246
C6_C661 C2_C597
C6_C886 C2_A16
C6_C940 D7_A298
C7_A144 C2_B965
C7_A189 A5_B432
C7_A224 C3_A513
C7_A23 A6_B975
C7_A32 D4_A472
C7_A417 D6_C523
C7_A444 A5_C16
C7_A486 C3_A240
C7_A537 D6_A473
C7_A636 B4_B395
C7_A66 A3_B349
C7_A667 A2_A646
C7_A721 B5_A203
C7_A767 C6_A187
C7_A833 C6_A473
C7_A833 C6_A473
C7_A939 A7_C586
C7_A959 A4_C396
C7_A975 C6_A445
C7_A975 C6_A445
C7_B207 B5_B0
C7_B301 C3_B241
C7_B36 A2_C293
C7_B440 C7_B54
C7_B502 D1_A736
C7_B512 C5_A694
C7_B623 B3_C332
C7_B638 C4_B548
C7_B638 D6_B552
C7_B67 D7_B98
C7_B685 C6_B369
C7_B741 C2_B839
C7_B743 B7_A985
C7_B817 B6_C939
C7_B859 C4_A619
C7_B913 B7_B642
C7_B937 C4_C267
C7_C139 C4_B190
C7_C159 C3_C59
C7_C288 B1_C163
C7_C394 B2_C142
C7_C436 A6_A974
C7_C441 B3_A898
C7_C451 B4_A274
C7_C488 D4_A203
C7_C552 D1_A557
C7_C634 C2_A124
C7_C655 C2_B150
C7_C696 B6_A824
C7_C768 B6_A512
C7_C785 D1_C698
C7_C906 D6_A365
C7_C906 D7_C163
D1_A151 A5_C696
D1_A196 D4_B270
D1_A302 D6_B237
D1_A477 A2_A3
D1_A542 A2_C88
D1_A551 C4_C839
D1_A653 B6_B594
D1_A673 B4_A798
D1_A700 A3_C476
D1_A728 D3_C810
D1_A794 D4_A558
D1_A831 A6_B554
D1_A859 B1_A146
D1_B216 A6_C360
D1_B244 D5_C843
D1_B275 D5_B678
D1_B297 D2_B915
D1_B31 D6_B222
D1_B456 D1_B301
D1_B479 B7_C99
D1_B531 C1_C874
D1_B570 A4_A985
D1_B645 C5_C915
D1_B732 C4_B424
D1_B97 C1_A407
D1_C1 C5_C438
D1_C124 C3_C45
D1_C124 C3_C45
D1_C16 D2_C5
D1_C24 A2_C54
D1_C264 B4_A802
D1_C264 B6_C659
D1_C27 A7_C87
D1_C276 A1_C3
D1_C306 C2_A225
D1_C422 D5_C581
D1_C428 B6_B293
D1_C510 C1_C744
D1_C532 B6_A592
D1_C59 A5_A452
D1_C594 B5_C606
D1_C620 D3_C848
D1_C657 A3_A298
D1_C920 B3_A831
D2_A144 A2_C181
D2_A144 A5_A55
D2_A182 D4_B340
D2_A184 D7_A172
D2_A218 A6_C864
D2_A285 C6_A555
D2_A427 A3_B240
D2_A440 B4_B831
D2_A453 C4_A247
D2_A6 A1_B534
D2_A658 D1_C562
D2_A839 C6_A394
D2_A839 D5_A670
D2_A860 A2_C857
D2_A95 D6_B618
D2_A982 C3_C672
D2_B1 C7_A107
D2_B12 D1_B430
D2_B187 A5_C620
D2_B20 C7_B102
D2_B208 C4_C894
D2_B499 C6_A111
D2_B519 B1_C871
D2_B605 C5_C957
D2_B627 C3_A30
D2_B631 C6_B899
D2_B688 D6_C79
D2_B815 B7_A567
D2_B888 C5_B964
D2_B962 B2_A953
D2_C140 C6_C216
D2_C296 B2_C149
D2_C337 A2_C249
D2_C4 B1_C212
D2_C412 D1_A250
D2_C432 B5_A477
D2_C456 D4_C970
D2_C456 D6_A449
D2_C542 D1_C5
D2_C604 C5_B611
D2_C629 D4_C1
D2_C63 B4_A361
D2_C697 D7_C960
D2_C738 B2_C556
